0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Date,CG Scheme,SG Scheme,E Tier I,C Tier I,G Tier I,E Tier II,C Tier II,G Tier II,NPS Lite,Corporate CG,APY,A Tier I,A Tier II,NPS TTS-II
2009-08-21,11.3555,9.9997,9.6821,10.2360,10.1389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-22,11.3583,9.9997,9.7350,10.2376,10.1401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-23,11.3607,9.9997,9.7350,10.2390,10.1413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-24,11.3657,9.9997,9.7350,10.2409,10.1425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-25,11.3678,9.9997,9.8119,10.2423,10.1437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-26,11.3703,9.9997,9.8219,10.2400,10.3408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-27,11.3731,9.9997,9.8357,10.2413,10.2784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-28,11.3782,9.9997,9.8404,10.2388,10.2568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-29,11.3806,9.9997,9.8681,10.2401,10.2562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-30,11.3819,9.9997,9.8681,10.2414,10.2545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-31,11.3802,9.9997,9.8681,10.2360,10.2165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-01,11.3748,9.9997,9.8264,10.2290,10.3479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-02,11.3718,9.9997,9.8095,10.2391,10.2251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-03,11.3723,9.9997,9.7949,10.2372,10.2313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-04,11.3771,9.9997,9.8090,10.2341,10.2085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-05,11.3794,9.9997,9.8593,10.2353,10.2079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-06,11.3818,9.9997,9.8593,10.2365,10.2074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-07,11.3875,9.9997,9.8752,10.2484,10.2619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-08,11.3954,9.9997,9.9334,10.2386,10.2369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-09,11.4006,10.0528,9.9463,10.2401,10.3956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-10,11.4023,10.0466,9.9502,10.2417,10.3535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-11,11.4059,10.0519,9.9559,10.2388,10.3875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-12,11.4089,10.0521,9.9628,10.2400,10.3877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-13,11.4113,10.0524,9.9628,10.2411,10.3879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-14,11.4148,10.0642,9.9608,10.2463,10.4619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-15,11.4210,10.0733,9.9601,10.2478,10.5163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-16,11.4278,10.0746,10.0098,10.2696,10.5233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-17,11.4299,10.0703,10.0389,10.2679,10.4960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-18,11.4346,10.0739,10.0467,10.2795,10.5156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-19,11.4376,10.0741,10.0503,10.2805,10.5157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-20,11.4400,10.0744,10.0503,10.2816,10.5159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-21,11.4424,10.0746,10.0503,10.2826,10.5161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-22,11.4457,10.0728,10.0525,10.2845,10.5520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-23,11.4460,10.0758,10.0645,10.2855,10.5673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-24,11.4498,10.0748,10.0460,10.2864,10.5605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-25,11.4515,10.0703,10.0490,10.2874,10.5366,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-26,11.4531,10.0706,10.0370,10.2884,10.5368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-27,11.4555,10.0708,10.0370,10.2894,10.5369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-09-28,11.4580,10.0711,10.0370,10.2904,10.5371,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
